predicted_id,New_Audit_id,Audit_ID,Facility_ID,Status,Auditor1,Auditor2,Auditor3,Au date,Manuf,Model,TPS,Algorithm,Matched,k_Q Fac.,k_Q ACDS,Array,S.N.,audit,6_Daily_Output,10_Daily_Output,15_Daily_Output,18_Daily_Output,6FFF_Daily_Output,10FFF_Daily_Output,"6__TPR_20,10","10__TPR_20,10","15__TPR_20,10","18__TPR_20,10","6FFF__TPR_20,10","10FFF__TPR_20,10",version,corr.,Alg.,Rev.,Metric,Case,Depth,Energy,Energy_FFF,Gantry,Mode,Point type,Point Value
607392_1_PxVar|8|15|6|0|0|1,607392_1,607392,Intrepid Bongo,field trial,Majestic Kakapo,Quizzical Cockroach,,2016-01-18,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,2.0,p,p,Rapid Whippet,,1.03,0.9992,,,,,,0.68,,0.759,,,,,Dw,1,1.0,PxVar,8,15,6,0,0,1,Prescription Point,0.02203626283629843
607392_1_MaxLocDiff|8|15|6|0|0|1,607392_1,607392,Intrepid Bongo,field trial,Majestic Kakapo,Quizzical Cockroach,,2016-01-18,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,2.0,p,p,Rapid Whippet,,1.03,0.9992,,,,,,0.68,,0.759,,,,,Dw,1,1.0,MaxLocDiff,8,15,6,0,0,1,Worst Point +ve,0.03637464663567345
996724_1_PxVar|8|15|6|0|0|1,996724_1,996724,Golden Anteater,field trial,Quizzical Cockroach,Majestic Kakapo,,2016-02-07,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,4.0,p,p,Rapid Whippet,,1.03,0.998,,1.002,,,,0.683,,0.761,,,,,Dw,1,1.0,PxVar,8,15,6,0,0,1,Prescription Point,0.0009848203226444263
996724_1_MaxLocDiff|8|15|6|0|0|1,996724_1,996724,Golden Anteater,field trial,Quizzical Cockroach,Majestic Kakapo,,2016-02-07,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,4.0,p,p,Rapid Whippet,,1.03,0.998,,1.002,,,,0.683,,0.761,,,,,Dw,1,1.0,MaxLocDiff,8,15,6,0,0,1,Worst Point +ve,0.02163909192097253
190204_1_PxVar|8|15|6|0|0|1,190204_1,190204,Spotted Grey Reef Shark,field trial,Majestic Kakapo,Quizzical Cockroach,,2016-02-05,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,2.0,p,p,Rapid Whippet,,1.03,1.001,,1.001,,,,0.682,,0.761,,,,,Dw,1,1.0,PxVar,8,15,6,0,0,1,Prescription Point,-0.01182295897107974
190204_1_MaxLocDiff|8|15|6|0|0|1,190204_1,190204,Spotted Grey Reef Shark,field trial,Majestic Kakapo,Quizzical Cockroach,,2016-02-05,Self-assured Grey Seal,Quick Gecko,Blue Sea Lion,Stable Bobcat,2.0,p,p,Rapid Whippet,,1.03,1.001,,1.001,,,,0.682,,0.761,,,,,Dw,1,1.0,MaxLocDiff,8,15,6,0,0,1,Worst Point +ve,-0.01182295897107974
748726_1_PxVar|8|15|6|0|0|1,748726_1,748726,Taut Sea Dragon,field trial,Mixed Caiman Lizard,Disfigured Walrus,,2016-05-09,Healthy Crocodile,Old Bottle Nosed Dolphin,Accurate Horn Shark,Unhappy Aardvark,1.0,p,p,Rapid Whippet,374.0,1.028,1.003,1.004,,,,,0.669,0.74,,,,,,Dw,1,1.0,PxVar,8,15,6,0,0,1,Prescription Point,0.00949669492323338
748726_1_MaxLocDiff|8|15|6|0|0|1,748726_1,748726,Taut Sea Dragon,field trial,Mixed Caiman Lizard,Disfigured Walrus,,2016-05-09,Healthy Crocodile,Old Bottle Nosed Dolphin,Accurate Horn Shark,Unhappy Aardvark,1.0,p,p,Rapid Whippet,374.0,1.028,1.003,1.004,,,,,0.669,0.74,,,,,,Dw,1,1.0,MaxLocDiff,8,15,6,0,0,1,Worst Point +ve,0.01489058657571282
461907_1_PxVar|8|15|6|0|0|1,461907_1,461907,Fantastic Epagneul Pont Audemer,field trial,Standard Millipede,Heavenly Woolly Mammoth,,2016-05-06,Self-assured Grey Seal,Quick Gecko,Internal Galapagos Penguin,Genuine English Shepherd,2.0,p,p,Rapid Whippet,374.0,1.028,1.007,1.001,,,,,0.676,0.728,,,,,,Dw,1,1.0,PxVar,8,15,6,0,0,1,Prescription Point,-0.006579426076856515
461907_1_MaxLocDiff|8|15|6|0|0|1,461907_1,461907,Fantastic Epagneul Pont Audemer,field trial,Standard Millipede,Heavenly Woolly Mammoth,,2016-05-06,Self-assured Grey Seal,Quick Gecko,Internal Galapagos Penguin,Genuine English Shepherd,2.0,p,p,Rapid Whippet,374.0,1.028,1.007,1.001,,,,,0.676,0.728,,,,,,Dw,1,1.0,MaxLocDiff,8,15,6,0,0,1,Worst Point +ve,-0.006579426076856515
