predicted_id,new_audit_id,audit_id,facility_id,status,auditor1,auditor2,auditor3,date,manuf,model,tps,algorithm,matched,k_q fac.,k_q acds,array,s.n.,audit,6_daily_output,10_daily_output,15_daily_output,18_daily_output,6fff_daily_output,10fff_daily_output,"6__tpr_20,10","10__tpr_20,10","15__tpr_20,10","18__tpr_20,10","6fff__tpr_20,10","10fff__tpr_20,10",version,corr.,alg.,rev.,metric,case,depth,energy,energy_fff,gantry,mode,point_type,point_value,corrected_point_value
289713_1_PxVar|10|15|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.0171990171990172,0.0010131712259371373
289713_1_PxVar|10|8|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.012002743484225,0.006079027355623046
289713_1_MaxLocDiff|10|15|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,-0.017,-0.008148574287143884
289713_1_MaxLocDiff|10|8|6|0|0|1,289713_1,289713,Whispered Okapi,,,,,2013-03-22,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Wooden Stellers Sea Cow,2.0,p,p,Pricey Bison,,,0.9989,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,-0.012,-0.0031035517758881692
174900_1_PxVar|10|15|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.0075351973031925,-0.007781451701460496
174900_1_PxVar|10|8|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.0030840145247135,-0.003331373368533286
174900_1_MaxLocDiff|10|15|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,0.013,0.022207577084881525
174900_1_MaxLocDiff|10|8|6|0|0|1,174900_1,174900,Ethical Bumble Bee,,,,,2013-03-24,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,3.0,p,p,Pricey Bison,,,0.999,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,0.017,0.026745294383773377
412701_1_PxVar|10|15|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.008,-0.01586131748390296
412701_1_PxVar|10|8|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.0106157112526538,-0.018456299969819567
412701_1_MinLocDiff|10|15|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,15,6,0,0,1,Worst Point -ve,-0.01,-0.017845468053491853
412701_1_MinLocDiff|10|8|6|0|0|1,412701_1,412701,Sour Radiated Tortoise,,,,,2013-03-12,Self-assured Grey Seal,Honored Frog,Grumpy Tapir,Grumpy Tapir,3.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,8,6,0,0,1,Worst Point -ve,-0.013,-0.02082169390787525
134312_1_PxVar|10|15|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,0.008224479922593,0.020827285921625416
134312_1_PxVar|10|8|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,0.002009377093101,0.014534494306764678
134312_1_MaxLocDiff|10|15|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,0.011,0.023637499999999756
134312_1_MaxLocDiff|10|8|6|0|0|1,134312_1,134312,Grotesque German Pinscher,,,,,2013-04-03,Healthy Crocodile,Next Stellers Sea Cow,Accurate Horn Shark,Unhappy Aardvark,2.0,p,p,Pricey Bison,,,1.002,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,0.011,0.023637499999999756
864684_1_PxVar|10|15|6|0|0|1,864684_1,864684,Overjoyed Border Terrier,,,,,2013-03-17,Self-assured Grey Seal,All Vampire Bat,Accurate Horn Shark,Unhappy Aardvark,4.0,p,p,Pricey Bison,,,1.004,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,0.0055304172951231,0.009049773755656076
864684_1_PxVar|10|8|6|0|0|1,864684_1,864684,Overjoyed Border Terrier,,,,,2013-03-17,Self-assured Grey Seal,All Vampire Bat,Accurate Horn Shark,Unhappy Aardvark,4.0,p,p,Pricey Bison,,,1.004,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,0.0067832916815421,0.010307033202427318
864684_1_MaxLocDiff|10|15|6|0|0|1,864684_1,864684,Overjoyed Border Terrier,,,,,2013-03-17,Self-assured Grey Seal,All Vampire Bat,Accurate Horn Shark,Unhappy Aardvark,4.0,p,p,Pricey Bison,,,1.004,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,0.019,0.022566499999999934
864684_1_MaxLocDiff|10|8|6|0|0|1,864684_1,864684,Overjoyed Border Terrier,,,,,2013-03-17,Self-assured Grey Seal,All Vampire Bat,Accurate Horn Shark,Unhappy Aardvark,4.0,p,p,Pricey Bison,,,1.004,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,0.026,0.029590999999999923
667222_1_PxVar|10|15|6|0|0|1,667222_1,667222,Strong Balinese,,,,,2013-03-14,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,4.0,p,p,Pricey Bison,,,1.011,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.0049726504226754,-0.0005017337246245868
667222_1_PxVar|10|8|6|0|0|1,667222_1,667222,Strong Balinese,,,,,2013-03-14,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,4.0,p,p,Pricey Bison,,,1.011,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,0.00171998624011,0.006220974695507309
667222_1_MaxLocDiff|10|15|6|0|0|1,667222_1,667222,Strong Balinese,,,,,2013-03-14,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,4.0,p,p,Pricey Bison,,,1.011,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,15,6,0,0,1,Worst Point +ve,0.017,0.021569645531702264
667222_1_MaxLocDiff|10|8|6|0|0|1,667222_1,667222,Strong Balinese,,,,,2013-03-14,Healthy Crocodile,Next Stellers Sea Cow,Internal Galapagos Penguin,Genuine English Shepherd,4.0,p,p,Pricey Bison,,,1.011,,,,,,,,,,,,,Dw,1,1.0,MaxLocDiff,10,8,6,0,0,1,Worst Point +ve,0.02,0.024583125312031884
733151_1_PxVar|10|15|6|0|0|1,733151_1,733151,Filthy Fox Terrier,,,,,2013-05-06,Self-assured Grey Seal,Quick Gecko,Grumpy Tapir,Fatal Hamster,2.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,15,6,0,0,1,Prescription Point,-0.0205580029368576,-0.007135575942915362
733151_1_PxVar|10|8|6|0|0|1,733151_1,733151,Filthy Fox Terrier,,,,,2013-05-06,Self-assured Grey Seal,Quick Gecko,Grumpy Tapir,Fatal Hamster,2.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,PxVar,10,8,6,0,0,1,Prescription Point,-0.0128606187000347,-0.015327233845711885
733151_1_MinLocDiff|10|15|6|0|0|1,733151_1,733151,Filthy Fox Terrier,,,,,2013-05-06,Self-assured Grey Seal,Quick Gecko,Grumpy Tapir,Fatal Hamster,2.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,15,6,0,0,1,Worst Point -ve,-0.021,-0.023446276861569304
733151_1_MinLocDiff|10|8|6|0|0|1,733151_1,733151,Filthy Fox Terrier,,,,,2013-05-06,Self-assured Grey Seal,Quick Gecko,Grumpy Tapir,Fatal Hamster,2.0,p,p,Pricey Bison,,,1.0,,,,,,,,,,,,,Dw,1,1.0,MinLocDiff,10,8,6,0,0,1,Worst Point -ve,-0.014,-0.01646376811594208
